categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Aptonia|Ultra Fruit Jellied|c|pulpe de poire William 51%, sucre, sirop de glucose de blé, stabilisant : glycérol, maltodextrine 5%, arôme naturel de poire, gélifiant : pectine, acidifiant : acide citrique, poudre d'acérola0.4%, vitamines B1. B6 et B12.|1372|0.4|64||0.4|0.09|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Aptonia|Ultra fruit jellies pamplemousse citron orange acérola|c|pulpe de fruits 50%, sucre, sirop de glucose de blé, maltodextrine 5%, stabilisant : glycérol, gélifiant : pectine, acidifiant : acide citrique, poudre d'acérola0.4%, huile essentielle de citron, huile essentielle d'orange, vitamines B1. B6 et B12.|1389|0.5|67||0.5|0.1|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Aptonia|Ultra Fruit Jellies fraise canneberge acérola|c|pulpe de fruits 50%, sucre, sirop de glucose de blé, maltodextrine 5%, stabilisant : glycérol, gélifiant : pectine, acidifiant : acide citrique, arôme naturel de fraise, arôme naturel de canneberge, poudre d'acérola0.4%, vitamines B1. B6 et B12.|1385||65|0|0.5|0.11|||||||||||||||||0||E330 - Acide citrique,E422 - Glycérol,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Betteraves cube|a|ingrédient Betterave rouge.|180|0.5|6.7|2.3|2.3|0.13|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Haricot rouge|a|Haricots rouges|1243|1.2|3.5|24.9|21|0.01|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Double Concentré De Tomates Francaises|a|purée de tomates|397|0.4|15|0|4|0.03|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Pâtes de fruits|c|Pulpes de fruits : pêche : pulpes de fruits 52.5%, mûre : pulpes de fruits 53%, abricot : pulpes de fruits 35%, framboise : pulpes de fruits 52.5%, fraise : pulpes de fruits 52.5%, poire : pulpes de fruits 52.5%, sucre, sirop de glucose, gélifiant : pectine de fruits, acidifiant : acide citrique, arômes.|1445|0.6|55.8|3|0.3|0.109982|||||||||||||||||0||E330 - Acide citrique,E440 - Pectines,E440i - Pectine|,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Jeunes pousses Maxi Pack|a|Jeunes pousses de laitue verte, de laitue rouge, d'épinard.|67|0.5|0.5|1.5|1.8|0.06|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Soja Cuisine 5%|a|jus de _soja_ 95 %, huile de tournesol, sucre, émulsifiant : lécithine de _soja_, épaississants : gomme xanthane, carraghénanes.|285|5|1.9|0.5|3.1|0.04|||||||||||||||||0|en:soybeans|E322 - Lécithines,E322i - Lécithine,E407 - Carraghénanes,E415 - Gomme xanthane|,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Coulis Tomate de Provence|a|Purée de tomates de Provence 99.6%, sel de Camargue.|201|0.4|5.3||1.5|0.4|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Mogette de Vendée|a|Mogette de Vendée Label Rouge IGP|1345|1.1|2.6|19|20.6|0.01|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Quinoa blond du Pérou|a|100% quinoa blanc du Pérou|1569|6.6|5|10|14|0.2|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan|Maïs Pop Corn|a|Maïs|1435|4.2|0.8|11.2|7.7|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan bio,Auchan|Quinoa bio |a|100% quinoa - issu de l'agriculture biologique |1532|5.3|5.3|7.8|12.5|0.1|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auchan,Mmm!|Lentille Verte du Puy|a|Lentilles verte du Puy.|1224|1.1|2|30.5|25.8|0|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Auzier Chabernac|Pralines Rouges|e|_Amande_, sucre, sirop de glucose, eau, vanilline, colorants : E124. E122. E129. agents d'enrobage : huile blanche, paraffine et talc.|2038|20.2|58.3|4.8|9.6|0.01|||||||||||||||||0|Amande|E122 - Azorubine carmoisine,E124 - Ponceau 4R,E129 - Rouge allura AC,E553b - Talc,E905 - Paraffine|,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Belle France|Coeur de laitue|a|Coeur de laitue|50|0.1|0.3|1.2|1.1|0.05|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Belle France|Coulis de Tomate |a|Purée de tomates, sel.|217|0.1|4.1|1.4|2.1|0.6096|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Belle France|Pâte brisée|d|farine de _blé_, graisses et huiles végétales, eau, sucre, alcool éthylique, sel, jus de citron concentré, colorant : béta-carotène, agent de traitement de la farine : L-cystéine.|1645|21.5|2.7|1.1|6.2|0.92|||||||||||||||||1|blé|E1510 - Éthanol,E160a - Bêta-carotène,E160ai - Bêta-carotène,E920 - L-Cystéine et ses chlorhydrates|,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Belle France|Mêlée Gourmande|a|Cœur de frisée, mâche, chicorée rouge.|71|0.3|0.7||1.3|0.08|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Belle France|Pate Sablee Etal.230G Bf,|d|farine de _blé_, matière grasse végétale, sucre, eau, alcool éthylique, sel, jus de citron concentré.|1803|22|17.3|1|5.3|0.3|||||||||||||||||1|blé|E1510 - Éthanol,E160 - Caroténoïdes|,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bio Village,Marque Repère|Boulgour courgettes cranberries et menthe|b|_Boulgour_ fin cuit* 49 %, courgettes* 16 cranberries* 9.8 %, huile de tournesol* , eau , persil* 3.5 % , vinaigre d'alcool* , menthe* 2.1% , sel , sucre blond* , jus de citron concentré* 0.5% , _moutarde_ de Dijon*, épaississant : gomme xanthane , poivre blanc*.|657|7.8|9|4.6|2.5|1.2|||||||||||||||||0|Boulgour, blé, moutarde, moutarde|E415 - Gomme xanthane|,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bio Village,Marque Repère|Boulgour|a|Boulgour de _blé_ dur précuit issu de l'agriculture biologique|1439|1.9|1.1|7.4|12|0.05|||||||||||||||||0|blé||,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Biocoop|Lentilles Vertes|a|lentilles vertes*, eau, sel de Guérande.  *Ingrédient Issu de l'agriculture|406|0.7|1.2|4.4|7.8|0.4|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Biothentic|Graines de courge|c|Graines de courge* *Issues de l'agriculture biologique.|2339|49|1.4|4|6|0.05|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Biothentic|Pois Chiches Bio|a|Pois chiches*. *Issus de l'agriculture biologique.|1523|6|11|10|19|0.0610000000000001|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Biothentic|Quinoa bio|a|INGREDIENW Quinoa*. *Issu de l'agriculture biologique. Risques de traces de gluten, de fruits à coques, de sésame, de lait et d'oeuf.|1565|6|2|7|13|0.053|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Avoine façon risotto aux légumes|a|Gruau d'avoine précuit 35.4%, riz rond complet précuit 19.7%, eau, petits légumes 19.3%, huile d'olive, farine complète de riz, bouillon de légumes.|657|3.2|0.1|3.2|4.9|0.762|||||||||||||||||0|||,,,,,,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Soja cuisine fluide Bio|b|Tonyu*, huile de colza*, sirop de blé*, huile de tournesol*, émulsifiant lécithines*épaississants gomme guar, gomme xanthane, sel marin, arômes naturels, antioxydant: extrait riche en tocophérols. Pourcentage exprimé sur produit fini. *Ingrédients biologiques.|699|16|2|1.1|2.7|0.14|||||||||||||||||0|en:soybeans|E306 - Extrait riche en tocophérols,E322 - Lécithines,E412 - Gomme de guar,E415 - Gomme xanthane|,,,,,,,,,,,,,,,,,,
Aliments et boissons à base de végétaux|Bjorg|Céréales & Légumes secs - Orge, Épeautre, Pois cassés|a|_Orge_ précuit 35 %, _épeautre_ précuit 27 %, lentilles vertes décortiquées précuites 20 %, lentilles rouges décortiquées 10 %, pois cassés précuits 10 %.|1356|1.3|1.7|8.2|14|0.03|||||||||||||||||0|Orge, épeautre||,,,,,,,,,,,,,,,,,,,,,,
